analysis_id,el322997i441tdp
gene_accession_id,MGI:104848
parameter_name,PQ
gene_symbol,Inpp1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4023494
parameter_id,IMPC_ECG_005_001
