parameter_name,Fractional Shortening
analysis_id,4j67204dqu6bgw9
mouse_strain,C51BL
gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
pvalue,0.5033758
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
