analysis_id,z441s25326lj8i9
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_symbol,Rhbg
pvalue,0.1847484
parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:1927379
