parameter_name,Distance travelled - total
pvalue,0.7455374
analysis_id,2d73k310nm8qn9j
gene_symbol,Secisbp2l
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
mouse_strain,C53BL
