gene_symbol,Opn3
parameter_id,HRWLLA_DXA_007_001
mouse_strain,C57BL
analysis_id,2pxf4ub8k7s9za3
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
pvalue,0.578749
parameter_name,BMC/Body weight
