gene_symbol,Sgip1
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
pvalue,0.9550068
mouse_strain,C57BL
analysis_id,511jdx7424507c5
parameter_name,Lens Opacity
gene_accession_id,MGI:1920344
