gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
analysis_id,k5l7gq545947935
mouse_life_stage,Early adult
pvalue,0.8291292
parameter_id,IMPC_DXA_004_001
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
