analysis_id,cx8t6148p5l42x6
gene_accession_id,MGI:95835
pvalue,0.1947268
parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
parameter_name,Monocytes
gene_symbol,Hspa5
mouse_life_stage,E9.5
