gene_symbol,Alkbh3
parameter_name,Vocalization
mouse_strain,C57BL
pvalue,0.4829313
analysis_id,244m5500cjhvm2x
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
