parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:108072
analysis_id,e80sbl9veg49fa8
mouse_strain,C57BL
gene_symbol,Traf6
mouse_life_stage,Early adult
pvalue,0.8133792
