gene_symbol,Tubb4b
pvalue,0.1020828
parameter_id,ESLIM_008_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
parameter_name,Body position
analysis_id,47fcgtjdhudg167
