analysis_id,t5528g8a6o6t6k5
parameter_name,Thoracic processes
pvalue,0.8477014
gene_symbol,Rgs20
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:1929866
