analysis_id,os7v13rrc7j3ou1
parameter_name,Radius
pvalue,0.8414278
gene_symbol,Rab17
gene_accession_id,MGI:104640
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
