parameter_name,CV
pvalue,0.2132636
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
parameter_id,IMPC_ECG_003_001
analysis_id,555w0h4wt2fa329
