parameter_name,Chloride
pvalue,0.1897239
parameter_id,HMGULA_CBC_003_001
gene_symbol,Wars2
gene_accession_id,MGI:1917810
analysis_id,d03671g678u2q5f
mouse_life_stage,Early adult
mouse_strain,C57BL
