gene_symbol,Cisd2
parameter_name,Placenta Morphology
mouse_strain,C57BL
pvalue,0.1250227
analysis_id,yo8c92c168570bd
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_id,IMPC_GPO_002_001
