gene_symbol,Morn5
mouse_life_stage,Early adult
parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
pvalue,0.6205649
gene_accession_id,MGI:1922745
mouse_strain,C57BL
analysis_id,7wud50mn43600v9
