analysis_id,0h8q7c05y4wwy5w
mouse_life_stage,Early adult
parameter_name,30kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_symbol,Slc39a10
parameter_id,IMPC_ABR_012_001
gene_accession_id,MGI:1914515
pvalue,0.4090082
