gene_symbol,Traf6
parameter_id,MGP_IMM_130_001
pvalue,0.8143732
gene_accession_id,MGI:108072
parameter_name,CD11b-low cDC - % of CD45+
mouse_strain,C57BL
analysis_id,b0ue5bz1oq5exy4
mouse_life_stage,Early adult
