analysis_id,3xjl5s0m1irvf6g
mouse_life_stage,Early adult
pvalue,0.2953489
gene_accession_id,MGI:1913483
parameter_id,MGP_PBI_004_001
parameter_name,CD8+ alpha beta T cell percentage
mouse_strain,C57BL
gene_symbol,Dmap1
