analysis_id,ly69h5m2xs952a0
mouse_strain,C57BL
parameter_id,IMPC_EYE_056_001
gene_accession_id,MGI:1917604
pvalue,0.8602022
parameter_name,Mean left eye lens density
mouse_life_stage,Early adult
gene_symbol,Secisbp2l
