analysis_id,88347869ytm52d4
parameter_id,IMPC_CBC_001_001
mouse_strain,C57BL
gene_symbol,Zcchc2
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_name,Sodium
pvalue,0.1768922
