parameter_name,Limb grasping
mouse_life_stage,Early adult
analysis_id,e9874ko7lk779i9
pvalue,0.1335763
mouse_strain,C57BL
gene_accession_id,MGI:2653612
parameter_id,ESLIM_008_001_017
gene_symbol,Amigo1
