analysis_id,r1jc0l3j7d7ukdi
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Casq1
parameter_id,MGP_MLN_001_001
gene_accession_id,MGI:1309468
pvalue,0.9219634
