parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bcs1l
pvalue,0.864484
gene_accession_id,MGI:1914071
analysis_id,739nk6h312573al
