analysis_id,34d8431i5l6r768
parameter_id,MGP_IMM_001_001
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
pvalue,0.9875194
mouse_life_stage,Early adult
