parameter_name,White blood cell count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_001_001
gene_accession_id,MGI:1914944
gene_symbol,Ift74
pvalue,0.6886317
analysis_id,518506uw05vqe41
mouse_strain,C57BL
