analysis_id,kf02dzg9ep0ybsh
pvalue,0.1806685
mouse_strain,129SV
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_symbol,Ddx27
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
parameter_id,MGP_MLN_021_001
