parameter_name,Humerus
pvalue,0.250462
mouse_life_stage,Early adult
gene_symbol,Traf6
gene_accession_id,MGI:108072
analysis_id,718i258c282n4n9
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
