gene_symbol,Psmd14
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
analysis_id,5893sva96f9xms3
parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
pvalue,0.9850145
