gene_symbol,Cdin1
pvalue,0.7260734
gene_accession_id,MGI:3026886
analysis_id,09341n7qsu46m6i
parameter_id,MGP_IMM_026_001
mouse_life_stage,E9.5
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
