analysis_id,74242mm885ec82z
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_004_001
pvalue,0.6050624
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
parameter_name,6kHz-evoked ABR Threshold
mouse_strain,C57BL
