analysis_id,7r3164zv0u5cg1o
mouse_strain,C57BL
gene_accession_id,MGI:1917810
pvalue,0.2732122
gene_symbol,Wars2
mouse_life_stage,Early adult
parameter_name,CD4+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_032_001
