parameter_name,Lean mass
pvalue,0.05926634
mouse_strain,C57BL
gene_accession_id,MGI:1914836
analysis_id,5shy8b2793b4dvg
parameter_id,JAXLA_DXA_003_001
gene_symbol,Ubxn11
mouse_life_stage,Early adult
