analysis_id,x40w0w325yvc173
mouse_life_stage,E12.5
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_id,MGP_MLN_072_001
mouse_strain,C57BL
pvalue,0.1776458
parameter_name,KLRG1+ Treg cells - % of CD45+
