mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
parameter_id,MGP_MLN_093_001
analysis_id,4q9y27ssp3va3pd
mouse_strain,C57BL
pvalue,0.7986344
gene_symbol,Alkbh3
parameter_name,KLRG1+ NK cells - % of CD45+
