analysis_id,bzqf058t516z1d3
pvalue,0.6116032
parameter_name,Sodium
mouse_strain,C57BL
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_life_stage,E15.5
parameter_id,IMPC_CBC_001_001
