gene_symbol,Nemp2
pvalue,0.1319024
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
parameter_name,Red blood cell count
mouse_life_stage,Early adult
analysis_id,up95ee57q0900lj
