analysis_id,1n6guuz8u2e85ee
mouse_life_stage,Early adult
gene_symbol,Mecom
mouse_strain,C3H
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:95457
pvalue,0.349955
parameter_id,IMPC_ACS_035_001
