analysis_id,ar5om8d3v6h2j1l
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
pvalue,0.09916048
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - head
mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
