parameter_name,Vocalization
analysis_id,9vb4i0ntz5s83x3
gene_accession_id,MGI:1918764
pvalue,0.7644517
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sfpq
