parameter_name,Click-evoked ABR threshold
pvalue,0.1870663
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,m0a20jkmx5h3y89
parameter_id,IMPC_ABR_002_001
