parameter_name,Mean cell hemoglobin concentration
gene_symbol,Dmap1
pvalue,0.188875
analysis_id,149fs8vai243dw6
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
parameter_id,IMPC_HEM_007_001
mouse_strain,C57BL
