analysis_id,p43npeh86824hyy
gene_symbol,Steap3
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_017_001
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_name,Center average speed
pvalue,0.8279059
