analysis_id,2s6wo9k0ee9pw01
pvalue,0.5605182
parameter_name,Creatinine
gene_symbol,Slc45a3
parameter_id,JAX_URI_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
