parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
analysis_id,pt54e007im9aw92
pvalue,0.1707274
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Arnt
gene_accession_id,MGI:88071
