gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_name,Center average speed
analysis_id,56hv148s3y8e782
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_017_001
pvalue,0.3882986
