parameter_id,JAX_ROT_002_001
mouse_strain,C52BL
mouse_life_stage,Early adult
pvalue,0.3130892
gene_accession_id,MGI:2385884
analysis_id,2meee720akp0s93
parameter_name,Average duration
gene_symbol,Ddx27
