parameter_id,IMPC_ACS_036_001
mouse_life_stage,Early adult
pvalue,0.3108147
analysis_id,127bex897fh8p7h
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI4
gene_symbol,Kifap3
gene_accession_id,MGI:107566
