analysis_id,2x6ge11j70nu3vk
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
pvalue,0.6342247
parameter_name,B cell percentage
gene_symbol,Sla2
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
