analysis_id,d08y9290j3ho63t
parameter_name,Number of rears - total
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_021_001
gene_symbol,Frmpd1
pvalue,0.1736361
mouse_strain,C57BL
