gene_symbol,Dcaf12
parameter_name,Neutrophil cell count
pvalue,0.07623457
mouse_strain,C57BL
analysis_id,02423ed30225c2z
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
