analysis_id,957if6m7hnz9fsv
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8824421
parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
