gene_symbol,Opn3
parameter_id,ESLIM_011_001_009
mouse_life_stage,Early adult
parameter_name,PP3 + pulse startle magnitude
analysis_id,827t47l25r783s0
pvalue,0.06949362
mouse_strain,C57BL
gene_accession_id,MGI:1338022
