analysis_id,4069p30zm0qvdq9
pvalue,0.1271159
mouse_strain,C57BL
parameter_name,PQ
gene_symbol,Ap5s1
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
parameter_id,IMPC_ECG_005_001
