analysis_id,0i9v9xu65me8g25
pvalue,0.08790848
parameter_name,Creatinine
gene_symbol,Atf3
gene_accession_id,MGI:109384
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_005_001
