parameter_name,Chloride
parameter_id,HMGULA_CBC_003_001
gene_symbol,Mapkap1
analysis_id,08h252opw06uhr0
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.2318514
