gene_symbol,Tiprl
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1915087
parameter_id,M-G-P_013_001_001
pvalue,0.9381239
analysis_id,39ei1g107zb07po
parameter_name,Eye
