parameter_name,CD8 CD44-CD62L+ T cells
analysis_id,h800hv4ss77s231
mouse_life_stage,Early adult
pvalue,0.897753
gene_symbol,Trp53i11
mouse_strain,C57BL
gene_accession_id,MGI:2670995
parameter_id,IMPC_IMM_034_001
