gene_symbol,Zc2hc1a
analysis_id,cx03kvg9cn151yf
parameter_name,Total cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
pvalue,0.2149109
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
