analysis_id,r3eu50d54463dte
pvalue,0.9632529
mouse_strain,C57BL
parameter_name,Large Unstained Cell (LUC) count
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_id,IMPC_HEM_039_001
mouse_life_stage,Middle aged adult
