gene_symbol,Ift74
parameter_name,Fat/Body weight
gene_accession_id,MGI:1914944
pvalue,0.2563222
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
analysis_id,1n4vn44y7m9p668
mouse_strain,C57BL
