mouse_life_stage,Late adult
pvalue,0.4994606
analysis_id,h90y6i49lnp48vu
gene_accession_id,MGI:1917604
parameter_name,Percentage center time
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_id,IMPC_OFD_022_001
