parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
pvalue,0.449297
analysis_id,979588j8chm0659
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_strain,C57BL
